"L. 부동산업및임대업(68~69)","전학력","전체","20 ~ 24",1861,1803,2487,1755,1674,3418,1992,1931,4222,2222,2062,4641,2284,2194,3628
"L. 부동산업및임대업(68~69)","전학력","전체","25 ~ 29",2113,1972,7799,2193,2032,9517,2407,2277,13179,2473,2376,13736,2654,2524,13707
"M. 전문,과학및기술서비스업(70~73)","전학력","전체","~ 19세",1383,1360,1197,1646,1592,2071,1682,1648,1565,1856,1808,1457,2088,2025,1250
"M. 전문,과학및기술서비스업(70~73)","전학력","전체","20 ~ 24",1984,1891,29147,2014,1928,29708,2038,1913,28361,2187,2072,26751,2279,2173,25365
"M. 전문,과학및기술서비스업(70~73)","전학력","전체","25 ~ 29",2779,2532,118889,2750,2465,114631,2895,2533,126930,3051,2644,128266,3103,2730,131196
"N. 사업시설관리및사업지원서비스업(74~75)","전학력","전체","~ 19세",1774,1592,2058,1473,1411,2886,1808,1788,4629,1742,1733,4106,1812,1791,3043
"N. 사업시설관리및사업지원서비스업(74~75)","전학력","전체","20 ~ 24",1811,1743,37563,1931,1878,41646,1915,1863,50203,2001,1955,50114,2120,2064,40523
"N. 사업시설관리및사업지원서비스업(74~75)","전학력","전체","25 ~ 29",2237,2074,89625,2319,2185,99884,2263,2128,114507,2408,2289,118394,2537,2393,113190
"P. 교육서비스업(85)","전학력","전체","~ 19세",1423,1348,332,1426,1424,266,1193,1188,421,1358,1358,392,1073,1073,438
"P. 교육서비스업(85)","전학력","전체","20 ~ 24",1488,1475,30951,1580,1566,32364,1685,1663,27859,1761,1749,27130,1887,1875,24747
"P. 교육서비스업(85)","전학력","전체","25 ~ 29",1875,1835,50478,1941,1902,52655,2052,2005,52113,2127,2081,53043,2233,2183,51018
"Q. 보건업및사회복지서비스업(86~87)","전학력","전체","~ 19세",1246,1222,774,1476,1462,912,1381,1364,701,1696,1682,1100,1825,1795,797
"Q. 보건업및사회복지서비스업(86~87)","전학력","전체","20 ~ 24",1878,1790,85151,1876,1813,93428,1974,1904,88202,2088,2033,84412,2330,2219,82075
"Q. 보건업및사회복지서비스업(86~87)","전학력","전체","25 ~ 29",2273,2069,139128,2291,2102,139615,2439,2259,154955,2522,2354,170779,2732,2524,179116
"R. 예술,스포츠및여가관련서비스업(90~91)","전학력","전체","~ 19세",1107,1101,1075,1362,1356,716,1784,1752,681,1234,1223,1314,1903,1869,727
"R. 예술,스포츠및여가관련서비스업(90~91)","전학력","전체","20 ~ 24",1329,1297,9313,1578,1527,6630,1723,1682,8237,1757,1718,7958,1888,1852,7555
"R. 예술,스포츠및여가관련서비스업(90~91)","전학력","전체","25 ~ 29",1969,1827,12306,2049,1940,11681,2251,2118,12338,2268,2162,12660,2376,2255,14626
"S. 협회및단체,수리및기타개인서비스업(94~96)","전학력","전체","~ 19세",1334,1325,1007,1212,1189,1194,1459,1447,1627,1335,1323,2168,1605,1599,1535
"S. 협회및단체,수리및기타개인서비스업(94~96)","전학력","전체","20 ~ 24",1442,1419,10687,1604,1562,12641,1702,1654,13377,1803,1771,14912,2008,1973,15236
"S. 협회및단체,수리및기타개인서비스업(94~96)","전학력","전체","25 ~ 29",2001,1897,20296,2038,1917,20735,2228,2083,22270,2250,2130,26220,2394,2264,28430
