"산업분류별","학력별","성별","연령",2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025
"산업분류별","학력별","성별","연령",평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명)
"G.도매 및 소매업(45~47)","전학력","전체","~ 19세",18.8,0.5,1745,1721,2516,18.2,0.9,1425,1398,3793,18.8,0.6,1430,1415,2988,18.6,0.4,1773,1769,2578,18.7,0.9,2110,2074,1583,18.7,0.4,1009,998,1661
"G.도매 및 소매업(45~47)","전학력","전체","20 ~ 24",22.8,1.2,2086,2014,42248,22.4,1.1,1878,1828,39819,22.6,1.2,2096,2036,40091,22.8,1.3,2410,2341,35435,22.7,1.2,2434,2375,29432,23.1,1.4,2355,2282,23378
"G.도매 및 소매업(45~47)","전학력","전체","25 ~ 29",27.3,2.0,2778,2568,148937,27.3,2.1,2793,2629,144922,27.3,2.1,3023,2824,132956,27.3,2.0,3091,2913,129283,27.2,2.1,3154,2976,116442,27.3,2.1,3302,3104,108973
"H.운수 및 창고업(49~52)","전학력","전체","~ 19세",18.7,0.8,2071,2047,717,18.6,0.8,2202,2156,485,18.7,0.7,2402,2382,675,18.6,0.6,2398,2381,654,18.8,0.7,2507,2500,471,18.6,0.5,2715,2711,281
"H.운수 및 창고업(49~52)","전학력","전체","20 ~ 24",22.7,1.5,2479,2387,8358,22.8,1.7,2517,2405,7931,22.9,1.6,2609,2503,7519,22.8,1.2,2919,2835,9139,23.0,1.2,2910,2848,9130,23.1,1.3,3019,2942,6951
"H.운수 및 창고업(49~52)","전학력","전체","25 ~ 29",27.3,2.3,2896,2639,37617,27.3,2.4,2907,2671,39737,27.4,2.5,3078,2832,36400,27.3,2.1,3266,3006,36469,27.3,2.2,3338,3060,37693,27.3,2.2,3413,3151,38415
"I.숙박 및 음식점업(55~56)","전학력","전체","~ 19세",18.4,0.6,868,866,9401,18.7,0.6,997,996,6883,18.5,0.6,1064,1063,7976,18.6,0.4,947,945,9956,18.3,0.6,1063,1061,11332,18.5,0.5,1004,1003,8942
"I.숙박 및 음식점업(55~56)","전학력","전체","20 ~ 24",22.3,1.0,1497,1480,43608,22.2,1.0,1506,1491,40132,22.2,1.0,1570,1559,38440,22.3,1.0,1723,1705,41458,22.2,1.0,1661,1643,41632,22.2,1.0,1567,1550,40897
"I.숙박 및 음식점업(55~56)","전학력","전체","25 ~ 29",26.9,1.8,2107,2041,50932,27.0,2.2,2209,2147,45540,26.9,2.0,2292,2236,41130,26.9,1.7,2379,2318,49556,27.0,1.8,2398,2342,51100,27.0,1.8,2450,2379,49953
"J.정보통신업(58~63)","전학력","전체","~ 19세",18.7,1.0,2061,1907,833,18.6,0.6,1993,1986,881,18.7,1.0,2000,1924,1082,18.8,0.7,2192,2179,596,18.8,0.7,2255,2252,437,18.7,1.2,2519,2493,42
"J.정보통신업(58~63)","전학력","전체","20 ~ 24",23.1,1.1,2290,2246,17648,23.0,1.1,2348,2303,19769,23.0,1.2,2406,2358,22334,23.1,1.1,2639,2581,23492,23.2,1.2,2765,2705,16403,23.2,1.3,2663,2621,13531
"J.정보통신업(58~63)","전학력","전체","25 ~ 29",27.2,1.9,2853,2712,87110,27.2,2.0,3020,2887,100021,27.2,1.9,3164,3013,110580,27.2,1.8,3363,3201,126766,27.3,2.0,3393,3231,118854,27.4,2.1,3532,3319,113606
"K.금융 및 보험업(64~66)","전학력","전체","~ 19세",18.7,0.9,2391,2270,1132,18.7,1.0,2637,2413,840,18.7,0.9,2443,2355,871,18.8,1.0,2800,2672,616,18.8,1.0,2872,2650,479,18.5,0.7,2737,2627,311
"K.금융 및 보험업(64~66)","전학력","전체","20 ~ 24",22.7,2.1,2801,2449,9967,22.7,2.2,2902,2522,9028,22.7,2.1,2968,2574,9785,23.0,2.0,3269,2843,9846,23.0,2.1,3267,2864,8822,22.9,1.9,3302,2959,7002
"K.금융 및 보험업(64~66)","전학력","전체","25 ~ 29",27.3,2.5,3490,2887,50863,27.3,2.7,3644,2998,50242,27.4,2.8,3843,3139,51816,27.4,2.6,4057,3366,55220,27.5,2.6,4137,3474,50708,27.4,2.7,4345,3695,50456
"L.부동산업(68)","전학력","전체","~ 19세",18.5,0.8,1979,1916,270,18.8,0.8,1955,1952,175,18.9,0.6,2135,2135,100,18.4,0.9,2579,2564,125,18.5,0.9,2926,2912,87,18.6,0.8,2668,2659,129
"L.부동산업(68)","전학력","전체","20 ~ 24",22.7,1.3,2168,2054,2708,22.8,1.4,2355,2259,2590,22.9,1.3,2450,2340,2371,22.9,2.0,2612,2444,1554,22.9,1.8,2741,2619,1638,23.1,1.5,2671,2580,2057
"L.부동산업(68)","전학력","전체","25 ~ 29",27.2,2.1,2918,2698,11799,27.3,2.2,2922,2655,11171,27.3,2.2,3114,2829,11844,27.4,2.5,3323,3019,9107,27.4,2.4,3367,3081,9372,27.4,2.3,3379,3133,9718
