year,industry,first_job_industry_thousand,year_total_thousand,share_percent
2023,건설업,149.3,3687.6,4.048703763965723
2023,도매 및 소매업,440.3,3687.6,11.940015186028855
2023,숙박 및 음식점업,611.4,3687.6,16.57988935893264
2023,운수 및 창고업,,3687.6,
2023,정보통신업,,3687.6,
2023,전문·과학 및 기술 서비스업,287.0,3687.6,7.782839787395596
2023,공공행정·국방·사회보장 행정,158.5,3687.6,4.298188523701052
2023,교육 서비스업,342.3,3687.6,9.28246013667426
2023,보건업·사회복지 서비스업,520.1,3687.6,14.104024297646166
2023,기타,561.1,3687.6,15.215858552988395
2024,농림어업,33.8,3765.8999999999996,0.897527815396054
2024,광·제조업,522.8,3765.8999999999996,13.8824716535224
2024,건설업,146.3,3765.8999999999996,3.884861520486471
2024,도매 및 소매업,412.0,3765.8999999999996,10.940279879975572
2024,숙박 및 음식점업,555.3,3765.8999999999996,14.745479168326298
2024,운수 및 창고업,109.0,3765.8999999999996,2.8943944342653816
2024,정보통신업,209.0,3765.8999999999996,5.54980217212353
2024,전문·과학 및 기술 서비스업,271.6,3765.8999999999996,7.212087416022732
2024,공공행정·국방·사회보장 행정,149.9,3765.8999999999996,3.9804561990493648
2024,교육 서비스업,349.8,3765.8999999999996,9.288616267027804
2024,보건업·사회복지 서비스업,446.3,3765.8999999999996,11.851084734060917
2024,기타,560.1,3765.8999999999996,14.872938739743491
2025,농림어업,33.9,3606.5,0.939969499514765
2025,광·제조업,474.2,3606.5,13.148481907666712
2025,건설업,114.9,3606.5,3.1859143213642036
2025,도매 및 소매업,412.8,3606.5,11.44600027727714
2025,숙박 및 음식점업,588.8,3606.5,16.326077914875917
2025,운수 및 창고업,116.0,3606.5,3.2164148065991958
2025,정보통신업,197.0,3606.5,5.462359628448634
2025,전문·과학 및 기술 서비스업,274.6,3606.5,7.614030223208097
2025,공공행정·국방·사회보장 행정,153.6,3606.5,4.258976847358935
2025,교육 서비스업,290.0,3606.5,8.04103701649799
2025,보건업·사회복지 서비스업,406.0,3606.5,11.257451823097185
2025,기타,544.7,3606.5,15.103285734091227
