"성별","산업별","직업별",2025.1/2,2025.1/2,2025.2/2,2025.2/2
"여자","L. 부동산업(68)","서비스 종사자",0,-,-,-
"여자","L. 부동산업(68)","판매 종사자",3,-,2,*
"여자","L. 부동산업(68)","농림어업 숙련 종사자",-,*,-,-
"여자","L. 부동산업(68)","기능원 및 관련 기능 종사자",0,-,0,*
"여자","L. 부동산업(68)","장치‧기계 조작 및 조립 종사자",-,*,-,-
"여자","L. 부동산업(68)","단순 노무 종사자",65,*,65,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","계",551,-,562,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","관리자",2,-,2,*
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","전문가 및 관련 종사자",260,*,262,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","사무 종사자",254,*,265,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","서비스 종사자",16,*,16,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","판매 종사자",5,*,5,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","농림어업 숙련 종사자",0,-,1,*
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","기능원 및 관련 기능 종사자",2,-,1,*
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","장치‧기계 조작 및 조립 종사자",3,*,3,-
"여자","M. 전문, 과학 및 기술 서비스업(70~73)","단순 노무 종사자",9,*,8,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",534,-,593,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","관리자",1,-,2,*
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전문가 및 관련 종사자",22,*,29,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","사무 종사자",151,*,171,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","서비스 종사자",25,*,28,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","판매 종사자",34,*,37,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","농림어업 숙련 종사자",1,-,2,*
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","기능원 및 관련 기능 종사자",7,*,8,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","장치‧기계 조작 및 조립 종사자",6,*,7,-
"여자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","단순 노무 종사자",287,*,308,-
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","계",654,-,639,-
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","관리자",2,-,3,*
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","전문가 및 관련 종사자",63,*,64,-
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","사무 종사자",337,*,340,-
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","서비스 종사자",59,*,51,-
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","판매 종사자",1,-,2,*
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","농림어업 숙련 종사자",0,-,0,*
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","기능원 및 관련 기능 종사자",1,-,1,*
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","장치‧기계 조작 및 조립 종사자",-,*,0,*
"여자","O. 공공 행정, 국방 및 사회보장 행정(84)","단순 노무 종사자",192,*,179,-
"여자","P. 교육 서비스업(85)","계",1313,-,1350,-
"여자","P. 교육 서비스업(85)","관리자",18,*,20,-
"여자","P. 교육 서비스업(85)","전문가 및 관련 종사자",920,*,948,-
"여자","P. 교육 서비스업(85)","사무 종사자",165,*,172,-
"여자","P. 교육 서비스업(85)","서비스 종사자",128,*,133,-
"여자","P. 교육 서비스업(85)","판매 종사자",2,-,2,*
"여자","P. 교육 서비스업(85)","농림어업 숙련 종사자",-,*,-,-
"여자","P. 교육 서비스업(85)","기능원 및 관련 기능 종사자",1,-,1,*
"여자","P. 교육 서비스업(85)","장치‧기계 조작 및 조립 종사자",3,*,3,-
"여자","P. 교육 서비스업(85)","단순 노무 종사자",75,*,72,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","계",2597,-,2701,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","관리자",15,*,14,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","전문가 및 관련 종사자",1158,*,1206,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","사무 종사자",170,*,175,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","서비스 종사자",740,*,783,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","판매 종사자",3,*,3,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","농림어업 숙련 종사자",-,*,0,*
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","기능원 및 관련 기능 종사자",4,*,4,-
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","장치‧기계 조작 및 조립 종사자",2,-,3,*
"여자","Q. 보건업 및 사회복지 서비스업(86~87)","단순 노무 종사자",506,*,514,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","계",279,-,281,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","관리자",1,-,1,*
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","전문가 및 관련 종사자",104,*,107,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","사무 종사자",49,*,45,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","서비스 종사자",91,*,91,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","판매 종사자",13,*,15,-
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","농림어업 숙련 종사자",1,-,1,*
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","기능원 및 관련 기능 종사자",1,-,0,*
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","장치‧기계 조작 및 조립 종사자",0,-,0,*
"여자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","단순 노무 종사자",20,*,20,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",556,-,541,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","관리자",1,-,2,*
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","전문가 및 관련 종사자",44,*,40,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","사무 종사자",73,*,76,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","서비스 종사자",353,*,339,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","판매 종사자",9,*,10,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","농림어업 숙련 종사자",-,*,-,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","기능원 및 관련 기능 종사자",16,*,15,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","장치‧기계 조작 및 조립 종사자",7,*,8,-
"여자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","단순 노무 종사자",52,*,52,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","계",74,-,70,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","관리자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","전문가 및 관련 종사자",-,*,1,*
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","사무 종사자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","서비스 종사자",4,-,4,*
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","판매 종사자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","농림어업 숙련 종사자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","기능원 및 관련 기능 종사자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","장치‧기계 조작 및 조립 종사자",-,*,-,-
"여자","T. 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)","단순 노무 종사자",70,*,65,-
"여자","U. 국제 및 외국기관(99)","계",5,-,6,*
"여자","U. 국제 및 외국기관(99)","관리자",-,*,-,-
"여자","U. 국제 및 외국기관(99)","전문가 및 관련 종사자",1,-,1,*
"여자","U. 국제 및 외국기관(99)","사무 종사자",3,-,3,*
"여자","U. 국제 및 외국기관(99)","서비스 종사자",0,-,1,*
"여자","U. 국제 및 외국기관(99)","판매 종사자",-,*,0,*
"여자","U. 국제 및 외국기관(99)","농림어업 숙련 종사자",-,*,-,-
"여자","U. 국제 및 외국기관(99)","기능원 및 관련 기능 종사자",-,*,-,-
"여자","U. 국제 및 외국기관(99)","장치‧기계 조작 및 조립 종사자",-,*,-,-
"여자","U. 국제 및 외국기관(99)","단순 노무 종사자",1,-,1,*
