"성별","산업별","직업별",2025.1/2,2025.1/2,2025.2/2,2025.2/2
"남자","H. 운수 및 창고업(49~52)","전문가 및 관련 종사자",44,-,44,-
"남자","H. 운수 및 창고업(49~52)","사무 종사자",168,-,177,-
"남자","H. 운수 및 창고업(49~52)","서비스 종사자",15,-,16,-
"남자","H. 운수 및 창고업(49~52)","판매 종사자",5,-,6,-
"남자","H. 운수 및 창고업(49~52)","농림어업 숙련 종사자",-,-,0,*
"남자","H. 운수 및 창고업(49~52)","기능원 및 관련 기능 종사자",44,-,45,-
"남자","H. 운수 및 창고업(49~52)","장치‧기계 조작 및 조립 종사자",845,-,832,-
"남자","H. 운수 및 창고업(49~52)","단순 노무 종사자",351,-,352,-
"남자","I. 숙박 및 음식점업(55~56)","계",883,-,890,-
"남자","I. 숙박 및 음식점업(55~56)","관리자",8,-,9,-
"남자","I. 숙박 및 음식점업(55~56)","전문가 및 관련 종사자",4,-,4,*
"남자","I. 숙박 및 음식점업(55~56)","사무 종사자",21,-,25,-
"남자","I. 숙박 및 음식점업(55~56)","서비스 종사자",641,-,638,-
"남자","I. 숙박 및 음식점업(55~56)","판매 종사자",67,-,66,-
"남자","I. 숙박 및 음식점업(55~56)","농림어업 숙련 종사자",1,*,0,*
"남자","I. 숙박 및 음식점업(55~56)","기능원 및 관련 기능 종사자",25,-,28,-
"남자","I. 숙박 및 음식점업(55~56)","장치‧기계 조작 및 조립 종사자",8,-,8,-
"남자","I. 숙박 및 음식점업(55~56)","단순 노무 종사자",108,-,111,-
"남자","J. 정보통신업(58~63)","계",757,-,781,-
"남자","J. 정보통신업(58~63)","관리자",17,-,17,-
"남자","J. 정보통신업(58~63)","전문가 및 관련 종사자",578,-,600,-
"남자","J. 정보통신업(58~63)","사무 종사자",94,-,92,-
"남자","J. 정보통신업(58~63)","서비스 종사자",2,*,2,*
"남자","J. 정보통신업(58~63)","판매 종사자",6,-,7,-
"남자","J. 정보통신업(58~63)","기능원 및 관련 기능 종사자",31,-,31,-
"남자","J. 정보통신업(58~63)","장치‧기계 조작 및 조립 종사자",7,-,7,-
"남자","J. 정보통신업(58~63)","단순 노무 종사자",24,-,27,-
"남자","K. 금융 및 보험업(64~66)","계",362,-,351,-
"남자","K. 금융 및 보험업(64~66)","관리자",51,-,46,-
"남자","K. 금융 및 보험업(64~66)","전문가 및 관련 종사자",68,-,71,-
"남자","K. 금융 및 보험업(64~66)","사무 종사자",170,-,159,-
"남자","K. 금융 및 보험업(64~66)","서비스 종사자",3,*,3,*
"남자","K. 금융 및 보험업(64~66)","판매 종사자",66,-,67,-
"남자","K. 금융 및 보험업(64~66)","농림어업 숙련 종사자",1,*,0,*
"남자","K. 금융 및 보험업(64~66)","기능원 및 관련 기능 종사자",1,*,1,*
