"성별","연령계층별",2015.08,2015.08,2015.08,2016.08,2016.08,2016.08,2017.08,2017.08,2017.08,2018.08,2018.08,2018.08,2019.08,2019.08,2019.08,2020.08,2020.08,2020.08,2021.08,2021.08,2021.08,2022.08,2022.08,2022.08,2023.08,2023.08,2023.08,2024.08,2024.08,2024.08,2025.08,2025.08,2025.08
"성별","연령계층별",임금근로자,정규직,비정규직,임금근로자,정규직,비정규직,임금근로자,정규직,비정규직,임금근로자,정규직,비정규직,임금근로자,정규직,비정규직,임금근로자,정규직,비정규직,임금근로자,정규직,비정규직,임금근로자,정규직,비정규직,임금근로자,정규직,비정규직,임금근로자,정규직,비정규직,임금근로자,정규직,비정규직
"계","15 - 19세",257,66,191,262,65,197,244,64,179,204,53,151,194,42,151,164,25,138,174,26,148,184,25,159,173,19,154,159,16,143,131,17,114
"계","20 - 29세",3413,2316,1097,3455,2343,1112,3498,2341,1157,3478,2353,1124,3555,2194,1362,3399,2116,1283,3537,2124,1414,3613,2199,1414,3528,2105,1423,3389,1929,1461,3258,1827,1431
