"시도별(17개)","규모별","직종별",2021.1/2,2021.1/2,2021.1/2,2021.2/2,2021.2/2,2021.2/2,2022.1/2,2022.1/2,2022.1/2,2022.2/2,2022.2/2,2022.2/2,2023.1/2,2023.1/2,2023.1/2,2023.2/2,2023.2/2,2023.2/2,2024.1/2,2024.1/2,2024.1/2,2024.2/2,2024.2/2,2024.2/2,2025.1/2,2025.1/2,2025.1/2,2025.2/2,2025.2/2,2025.2/2
"시도별(17개)","규모별","직종별",구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%)
"서울특별시","전규모(1인이상)","9 농림어업직",216,0,0.1,224,0,0.2,207,12,0.0,273,0,2.8,285,3,0.3,655,1,0.1,28,2,13.6,529,1,7.1,904,0,3.0,191,0,2.7
"부산광역시","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",8215,636,1.1,8919,754,1.2,9263,691,1.4,8286,1001,1.2,8800,874,1.2,9396,685,1.1,11083,697,1.2,8717,823,1.2,11286,477,1.1,9949,577,1.1
"부산광역시","전규모(1인이상)","1 연구직 및 공학기술직",3068,361,2.4,2525,343,2.3,3673,639,3.2,2683,586,2.6,3530,507,2.9,2606,500,2.5,2892,398,2.7,2294,529,2.2,2497,179,2.0,2343,357,2.0
"부산광역시","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",8907,477,1.8,3723,205,1.9,10015,571,2.1,5018,354,1.6,9431,311,1.8,3847,139,2.5,8330,298,2.0,3912,262,2.5,8956,232,2.4,4304,216,2.3
"부산광역시","전규모(1인이상)","3 보건ㆍ의료직",5880,498,1.4,4664,491,2.5,7022,472,1.6,4123,316,2.1,6260,424,1.4,5194,363,1.6,6470,276,1.8,5536,403,2.1,7237,417,1.7,5280,404,2.0
"부산광역시","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",1286,136,4.4,1305,163,3.7,1363,133,6.3,834,154,2.6,943,117,5.7,931,61,3.7,1587,102,3.1,715,31,4.2,1180,69,4.3,691,3,2.3
"부산광역시","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",13832,339,1.9,14090,725,3.1,14303,532,3.4,13468,1271,2.6,19135,831,2.8,17551,1416,2.2,26208,1244,2.6,19901,382,2.6,27125,340,2.6,22790,810,2.3
"부산광역시","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",11797,3008,3.1,11377,2438,3.2,11561,2094,3.3,10922,2658,2.9,11837,2237,3.9,10159,1994,3.1,11449,1850,4.0,11644,2384,3.5,11605,1893,3.3,10909,1817,2.7
"부산광역시","전규모(1인이상)","7 건설ㆍ채굴직",3217,135,0.2,8017,157,0.8,7868,173,1.9,10900,267,1.0,7342,77,1.9,3795,119,1.1,6530,65,2.5,6215,2,1.8,4953,1,1.0,7101,5,1.1
"부산광역시","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",10469,1485,2.6,10346,1985,3.6,10279,2323,4.2,9858,2318,3.8,9116,2060,3.5,8096,1495,2.7,9435,1238,2.9,8197,1025,2.7,8945,776,2.4,8303,651,2.7
