"고용형태","직종별",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"고용형태","직종별",총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원)
"전체근로자","장치·기계 조작 및 조립 종사자(8)",21.7,183.5,165.5,18.0,4.7,17904,14965,3228,2814,2431,383,414,4965,22.0,187.5,168.2,19.2,5.3,18074,15174,3370,2973,2529,444,397,4765,20.8,178.6,157.3,21.3,7.0,20322,16895,3609,3144,2635,508,465,5579,21.2,182.1,161.8,20.2,6.4,20937,17370,3788,3290,2785,506,498,5977,20.0,171.7,151.2,20.6,7.2,22848,19336,3912,3420,2899,521,492,5908,19.9,171.7,150.2,21.5,7.8,23514,19909,4019,3535,2961,574,484,5808
"전체근로자","단순노무 종사자(9)",18.6,144.6,138.3,6.3,1.8,13131,12601,1828,1769,1656,112,59,708,19.0,147.6,140.6,7.0,1.9,13074,12567,1870,1818,1693,125,53,631,18.3,143.4,135.2,8.2,2.7,14530,13936,2019,1955,1803,152,64,767,18.1,139.5,132.1,7.4,2.3,15433,14844,2058,1990,1847,142,68,819,17.5,134.3,126.7,7.6,2.5,16011,15383,2105,2032,1879,153,73,875,17.6,130.3,122.4,7.9,2.8,16253,15622,2095,2026,1862,164,70,838
"전체근로자(특수형태포함)","전직종",-,-,-,-,-,-,-,3161,2862,2727,136,298,3582,-,-,-,-,-,-,-,3250,2967,2817,150,283,3399,-,-,-,-,-,-,-,3506,3166,2994,172,341,4086,-,-,-,-,-,-,-,3624,3266,3091,175,358,4300,-,-,-,-,-,-,-,3717,3369,3189,180,348,4180,-,-,-,-,-,-,-,3814,3463,3263,200,351,4209
"전체근로자(특수형태포함)","관리자(1)",-,-,-,-,-,-,-,10346,8915,8789,126,1432,17178,-,-,-,-,-,-,-,10947,9630,9480,150,1317,15804,-,-,-,-,-,-,-,11880,10305,10155,150,1575,18902,-,-,-,-,-,-,-,11928,10388,10190,199,1540,18480,-,-,-,-,-,-,-,12198,10665,10475,190,1532,18388,-,-,-,-,-,-,-,12544,10892,10691,201,1653,19831
"전체근로자(특수형태포함)","전문가 및 관련종사자(2)",-,-,-,-,-,-,-,3809,3398,3269,129,411,4929,-,-,-,-,-,-,-,3848,3475,3340,135,372,4467,-,-,-,-,-,-,-,4169,3708,3558,150,461,5530,-,-,-,-,-,-,-,4402,3907,3747,160,495,5938,-,-,-,-,-,-,-,4496,4026,3862,164,471,5647,-,-,-,-,-,-,-,4652,4171,3983,187,482,5779
"전체근로자(특수형태포함)","사무 종사자(3)",-,-,-,-,-,-,-,3788,3375,3278,97,413,4953,-,-,-,-,-,-,-,3905,3503,3399,104,402,4822,-,-,-,-,-,-,-,4153,3692,3578,114,461,5534,-,-,-,-,-,-,-,4278,3788,3669,119,490,5879,-,-,-,-,-,-,-,4400,3917,3791,126,483,5801,-,-,-,-,-,-,-,4512,4036,3896,140,476,5713
"전체근로자(특수형태포함)","서비스 종사자(4)",-,-,-,-,-,-,-,1623,1590,1539,51,33,397,-,-,-,-,-,-,-,1689,1656,1593,63,33,398,-,-,-,-,-,-,-,1793,1752,1673,79,41,494,-,-,-,-,-,-,-,1814,1769,1686,83,45,541,-,-,-,-,-,-,-,1869,1821,1735,86,48,576,-,-,-,-,-,-,-,1930,1874,1778,95,56,677
"전체근로자(특수형태포함)","판매 종사자(5)",-,-,-,-,-,-,-,2725,2574,2523,52,151,1806,-,-,-,-,-,-,-,2721,2585,2532,52,136,1631,-,-,-,-,-,-,-,2902,2743,2682,61,159,1912,-,-,-,-,-,-,-,3087,2913,2847,66,174,2093,-,-,-,-,-,-,-,3130,2961,2890,71,169,2027,-,-,-,-,-,-,-,3243,3068,2992,76,175,2100
"전체근로자(특수형태포함)","농림·어업 숙련 종사자(6)",-,-,-,-,-,-,-,2283,2176,2085,92,107,1282,-,-,-,-,-,-,-,2180,2091,2005,86,88,1060,-,-,-,-,-,-,-,2411,2339,2224,115,72,862,-,-,-,-,-,-,-,2432,2357,2257,100,75,903,-,-,-,-,-,-,-,2565,2490,2363,127,75,902,-,-,-,-,-,-,-,2546,2472,2342,130,74,888
"전체근로자(특수형태포함)","기능원 및 관련 기능 종사자(7)",-,-,-,-,-,-,-,2801,2598,2459,139,203,2438,-,-,-,-,-,-,-,2896,2691,2536,155,204,2451,-,-,-,-,-,-,-,3014,2798,2623,176,216,2593,-,-,-,-,-,-,-,3244,2994,2806,187,250,3002,-,-,-,-,-,-,-,3358,3126,2943,183,232,2778,-,-,-,-,-,-,-,3486,3242,3038,204,244,2931
"전체근로자(특수형태포함)","장치·기계 조작 및 조립 종사자(8)",-,-,-,-,-,-,-,3277,2876,2504,372,401,4816,-,-,-,-,-,-,-,3441,3056,2626,430,385,4623,-,-,-,-,-,-,-,3662,3209,2714,495,453,5435,-,-,-,-,-,-,-,3813,3334,2848,486,479,5745,-,-,-,-,-,-,-,3945,3476,2979,497,470,5637,-,-,-,-,-,-,-,4044,3579,3027,552,465,5583
"전체근로자(특수형태포함)","단순노무 종사자(9)",-,-,-,-,-,-,-,1845,1787,1678,109,57,688,-,-,-,-,-,-,-,1901,1849,1729,121,51,613,-,-,-,-,-,-,-,2041,1978,1830,148,62,749,-,-,-,-,-,-,-,2087,2021,1884,137,66,791,-,-,-,-,-,-,-,2135,2064,1916,148,71,846,-,-,-,-,-,-,-,2122,2054,1896,159,68,812
"정규근로자","전직종",22.0,179.8,172.3,7.5,1.8,20731,18210,3693,3286,3116,170,407,4884,22.1,180.2,172.2,8.0,2.0,21230,18835,3795,3410,3222,188,385,4625,20.6,169.0,160.4,8.6,2.5,24409,21437,4078,3623,3412,211,455,5464,21.2,174.5,165.9,8.6,2.3,24799,21676,4280,3787,3568,220,493,5916,19.7,162.2,153.5,8.7,2.6,27703,24492,4427,3942,3714,228,485,5820,19.7,162.1,152.9,9.3,2.8,28599,25312,4567,4078,3824,255,489,5870
"정규근로자","관리자(1)",21.9,177.1,173.9,3.2,0.6,58199,50172,10220,8835,8705,130,1384,16612,22.0,178.4,174.5,3.9,0.9,61325,53964,10829,9557,9402,155,1272,15263,20.2,164.5,160.8,3.7,0.9,72065,62881,11725,10243,10086,157,1482,17788,20.9,170.5,166.1,4.3,0.7,70394,61237,11779,10282,10080,202,1497,17963,19.2,156.7,152.2,4.5,1.3,78067,68359,12052,10570,10372,198,1482,17786,19.1,156.1,151.9,4.2,0.8,80626,69923,12413,10800,10593,207,1613,19354
"정규근로자","전문가 및 관련종사자(2)",22.0,178.5,173.0,5.5,1.0,23735,20804,4214,3722,3570,152,492,5902,22.0,177.9,172.0,5.9,1.0,24132,21498,4264,3818,3659,159,446,5352,20.4,165.8,159.8,6.0,1.1,27820,24408,4581,4038,3867,172,542,6510,21.0,171.4,165.1,6.3,1.2,28419,24866,4834,4250,4067,182,585,7017,19.4,158.5,152.1,6.4,1.3,31747,28135,4981,4419,4227,191,563,6755,19.4,158.7,151.8,7.0,1.5,32704,28993,5138,4565,4347,218,573,6873
"정규근로자","사무 종사자(3)",21.9,177.1,172.6,4.5,0.9,22553,19899,3973,3523,3419,104,450,5401,21.9,177.3,172.7,4.6,0.9,23282,20705,4111,3673,3562,111,439,5266,20.3,164.6,159.7,4.9,1.2,26789,23611,4379,3875,3752,123,503,6038,21.0,170.4,165.6,4.8,1.0,26805,23464,4539,3996,3869,128,542,6509,19.3,156.9,151.9,5.1,1.2,30159,26631,4692,4153,4017,136,539,6468,19.3,157.0,151.6,5.4,1.2,31054,27541,4831,4298,4145,153,533,6400
"정규근로자","서비스 종사자(4)",22.6,179.6,174.9,4.7,1.1,12528,11952,2220,2149,2059,90,70,840,22.4,175.5,170.2,5.2,1.3,13133,12492,2253,2187,2080,107,66,797,21.5,169.6,163.2,6.4,1.7,14338,13621,2414,2330,2197,132,84,1011,21.8,177.0,169.1,7.9,1.9,14925,14136,2626,2523,2362,161,103,1233,20.7,169.1,161.3,7.8,2.1,16676,15754,2759,2647,2478,170,111,1338,20.7,168.0,159.7,8.4,2.1,17598,16532,2886,2754,2576,177,132,1586
"정규근로자","판매 종사자(5)",22.2,178.7,174.6,4.1,1.0,18267,16686,3242,2978,2893,85,265,3174,22.3,178.9,174.7,4.2,1.1,18749,17314,3345,3103,3016,87,242,2899,20.6,166.3,162.0,4.3,1.4,21021,19339,3480,3214,3121,93,266,3198,21.3,172.4,167.9,4.5,1.1,21018,19203,3609,3313,3212,101,296,3554,19.7,160.0,155.1,4.8,1.3,23901,22010,3790,3497,3388,110,292,3507,19.7,160.0,154.9,5.1,1.5,24826,22847,3928,3624,3502,122,304,3652
"정규근로자","농림·어업 숙련 종사자(6)",22.5,179.0,172.2,6.7,3.2,15559,14492,2792,2613,2488,125,179,2144,22.3,177.5,171.5,6.0,2.9,15777,14748,2773,2615,2489,126,158,1895,21.6,170.8,163.8,7.0,4.0,16266,15436,2762,2638,2495,144,124,1486,22.1,178.2,170.3,8.0,3.4,16330,15410,2884,2741,2589,153,143,1714,20.9,169.2,160.4,8.8,4.7,18298,17248,3066,2923,2727,196,143,1720,20.4,164.8,156.3,8.5,4.5,19237,18231,3164,3020,2824,196,144,1729
"정규근로자","기능원 및 관련 기능 종사자(7)",22.3,183.6,173.6,10.0,3.4,18000,15859,3278,2939,2728,211,339,4066,22.4,183.8,173.3,10.6,3.8,18586,16399,3394,3050,2814,236,344,4127,20.9,173.0,161.3,11.7,4.7,20734,18275,3566,3194,2924,270,372,4464,21.5,178.6,167.7,11.0,4.2,21323,18644,3787,3372,3100,272,414,4974,20.0,166.2,155.1,11.1,4.4,23719,21137,3918,3525,3245,280,393,4717,19.9,164.9,153.8,11.1,4.5,24634,21940,4048,3644,3347,296,404,4848
